"","a"
"1","Televisión"
"2","Clarita del Río"
"3","Crímenes que nadie olvida"
"4","En 4 ruedas"
"5","4D La Cuarta"
"6","cómic"
"7","Crímenes que nadie olvida"
"8","4D La Cuarta"
"9","Televisión"
"10","Clarita del Río"
"11","Fútbol"
"12","Televisión"
"13","Transportes"
"14","4D La Cuarta"
"15","Confesión"
"16","Armas"
"17","Película"
"18","Viral"
"19","La fotógrafa"
"20","Emblemático"
"21","confesiones de una separada"
"22","13 venezolanos"
"23","La Cuarta Dimensión"
"24","Crímenes que nadie olvida"
"25","Reportaje"
"26","Fútbol"
"27","Televisión"
"28","Transportes"
"29","4D La Cuarta"
"30","Confesión"
"31","4D La Cuarta"
"32","Viral"
"33","Frente a Frente"
"34","Crímenes que nadie olvida"
"35","Clarita del Río"
"36","Festejos con sentido"
"37","Reportajes"
"38","internet"
"39","Crímenes que nadie olvida"
"40","4D La Cuarta"
"41","Fútbol"
"42","Televisión"
"43","Transportes"
"44","4D La Cuarta"
"45","Confesión"
"46","Scarleth Cardenas"
"47","Clarita del Río"
"48","internet"
"49","Scarleth Cardenas"
"50","SábadoL4"
"51","Clarita del Río"
"52","4D La Cuarta"
"53","Más que goles"
"54","Ahorro"
"55","Eventos"
"56","Fútbol"
"57","Televisión"
"58","Transportes"
"59","4D La Cuarta"
"60","Confesión"
"61","El neonazi"
"62","Clarita del Río"
"63","Crímenes que nadie olvida"
"64","Niño maravilla"
"65","4D La Cuarta"
"66","4D La Cuarta"
"67","Crímenes que nadie olvida"
"68","Televisión"
"69","Fútbol"
"70","Pasatiempos"
"71","Fútbol"
"72","Televisión"
"73","Transportes"
"74","4D La Cuarta"
"75","Confesión"
"76","Scarleth Cardenas"
"77","Educación"
"78","Entrevista"
"79","Música"
"80","Scarleth Cardenas"
"81","Crímenes que nadie olvida"
"82","Más que goles"
"83","Frente a Frente"
"84","Clarita del Río"
"85","Marvel"
"86","Fútbol"
"87","Televisión"
"88","Transportes"
"89","4D La Cuarta"
"90","Confesión"
"91","Reportajes"
"92","4D La Cuarta"
"93","Crímenes que nadie olvida"
"94","Clarita del Río"
"95","10 preguntas"
"96","Tendencia"
"97","Scarleth Cardenas"
"98","Historia"
"99","Clarita del Río"
"100","Cavancha"
"101","Fútbol"
"102","Televisión"
"103","Transportes"
